SampleID	SampleName	Sex	Tissue	Treatment	TreatmentTissue
#q2:types	categorical	categorical	categorical	categorical	categorical
SRR6446899	36-3F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446900	36.3N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446901	28-3F	female	Fecal	Control	Fecal+Control
SRR6446902	28.3N	female	Nasal	Control	Nasal+Control
SRR6446903	30-3F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446904	30.3N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446905	38-3F	female	Fecal	Control	Fecal+Control
SRR6446906	38.3N	female	Nasal	Control	Nasal+Control
SRR6446907	7-2F	male	Fecal	Control	Fecal+Control
SRR6446908	7.2N	male	Nasal	Control	Nasal+Control
SRR6446909	59-2F	female	Fecal	Control	Fecal+Control
SRR6446910	59.2N	female	Nasal	Control	Nasal+Control
SRR6446911	58-2F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446912	58.2N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446913	6-2F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446914	60-2F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446915	60.2N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446916	6.2N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446917	23-1F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446918	51.5N	male	Nasal	Control	Nasal+Control
SRR6446919	9-7F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446920	9.7N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446921	10.1N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446922	50-5F	male	Fecal	Control	Fecal+Control
SRR6446923	1.1N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446924	11.1N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446925	10-1F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446926	1-1F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446927	11-1F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446928	47.7N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446929	47-7F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446930	40.7N	female	Nasal	Control	Nasal+Control
SRR6446931	40-7F	female	Fecal	Control	Fecal+Control
SRR6446932	43.7N	male	Nasal	Control	Nasal+Control
SRR6446933	43-7F	male	Fecal	Control	Fecal+Control
SRR6446934	44.7N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446935	44-7F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446936	45.7N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446937	45-7F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446938	25-1F	male	Fecal	Control	Fecal+Control
